Date,Team1,Team2,Venue,Result
28/04/2008,Chennai Super Kings,Royal Challengers Bengaluru,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Chennai Super Kings won by 13 runs
21/05/2008,Royal Challengers Bengaluru,Chennai Super Kings,MA Chidambaram Stadium (Chennai),Royal Challengers Bangalore won by 14 runs
20/04/2009,Chennai Super Kings,Royal Challengers Bengaluru,St George's Park (Port Elizabeth),Chennai Super Kings won by 92 runs
14/05/2009,Chennai Super Kings,Royal Challengers Bengaluru,Kingsmead (Durban),Royal Challengers Bangalore won by 2 wickets
23/05/2009,Chennai Super Kings,Royal Challengers Bengaluru,Wanderers Stadium (Johannesburg),Royal Challengers Bangalore won by 6 wickets
23/03/2010,Chennai Super Kings,Royal Challengers Bengaluru,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Royal Challengers Bangalore won by 36 runs
31/03/2010,Royal Challengers Bengaluru,Chennai Super Kings,MA Chidambaram Stadium (Chennai),Chennai Super Kings won by 5 wickets
16/04/2011,Royal Challengers Bengaluru,Chennai Super Kings,MA Chidambaram Stadium (Chennai),Chennai Super Kings won by 21 runs
22/05/2011,Chennai Super Kings,Royal Challengers Bengaluru,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Royal Challengers Bangalore won by 8 wickets
24/05/2011,Chennai Super Kings,Royal Challengers Bengaluru,Wankhede Stadium (Mumbai),Chennai Super Kings won by 6 wickets
28/05/2011,Royal Challengers Bengaluru,Chennai Super Kings,MA Chidambaram Stadium (Chennai),Chennai Super Kings won by 58 runs
12/04/2012,Royal Challengers Bengaluru,Chennai Super Kings,MA Chidambaram Stadium (Chennai),Chennai Super Kings won by 5 wickets
25/04/2012,Chennai Super Kings,Royal Challengers Bengaluru,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",No result
13/04/2013,Royal Challengers Bengaluru,Chennai Super Kings,MA Chidambaram Stadium (Chennai),Chennai Super Kings won by 4 wickets
18/05/2013,Chennai Super Kings,Royal Challengers Bengaluru,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Royal Challengers Bangalore won by 24 runs
18/05/2014,Royal Challengers Bengaluru,Chennai Super Kings,JSCA International Stadium Complex (Ranchi),Royal Challengers Bangalore won by 5 wickets
24/05/2014,Chennai Super Kings,Royal Challengers Bengaluru,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Chennai Super Kings won by 8 wickets
22/04/2015,Chennai Super Kings,Royal Challengers Bengaluru,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Chennai Super Kings won by 27 runs
04/05/2015,Royal Challengers Bengaluru,Chennai Super Kings,MA Chidambaram Stadium (Chennai),Chennai Super Kings won by 24 runs
22/05/2015,Royal Challengers Bengaluru,Chennai Super Kings,JSCA International Stadium Complex (Ranchi),Chennai Super Kings won by 3 wickets
25/04/2018,Chennai Super Kings,Royal Challengers Bengaluru,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Chennai Super Kings won by 5 wickets
05/05/2018,Royal Challengers Bengaluru,Chennai Super Kings,Maharashtra Cricket Association Stadium (Pune),Chennai Super Kings won by 6 wickets
23/03/2019,Royal Challengers Bengaluru,Chennai Super Kings,MA Chidambaram Stadium (Chennai),Chennai Super Kings won by 7 wickets
21/04/2019,Chennai Super Kings,Royal Challengers Bengaluru,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Royal Challengers Bangalore won by 1 run
10/10/2020,Royal Challengers Bengaluru,Chennai Super Kings,Dubai International Cricket Stadium (Dubai),Royal Challengers Bangalore won by 37 runs
25/10/2020,Royal Challengers Bengaluru,Chennai Super Kings,Dubai International Cricket Stadium (Dubai),Chennai Super Kings won by 8 wickets
25/04/2021,Royal Challengers Bengaluru,Chennai Super Kings,Wankhede Stadium (Mumbai),Chennai Super Kings won by 69 runs
24/09/2021,Royal Challengers Bengaluru,Chennai Super Kings,Sharjah Cricket Stadium (Sharjah),Chennai Super Kings won by 6 wickets
12/04/2022,Royal Challengers Bengaluru,Chennai Super Kings,Dr DY Patil Sports Academy (Mumbai),Chennai Super Kings won by 23 runs
04/05/2022,Royal Challengers Bengaluru,Chennai Super Kings,Maharashtra Cricket Association Stadium (Pune),Royal Challengers Bangalore won by 13 runs
17/04/2023,Royal Challengers Bengaluru,Chennai Super Kings,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Chennai Super Kings won by 8 runs
22/03/2024,Royal Challengers Bengaluru,Chennai Super Kings,MA Chidambaram Stadium (Chennai),Chennai Super Kings won by 6 wickets
18/05/2024,Chennai Super Kings,Royal Challengers Bengaluru,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Royal Challengers Bengaluru won by 27 runs
28/03/2025,Royal Challengers Bengaluru,Chennai Super Kings,MA Chidambaram Stadium (Chennai),Royal Challengers Bengaluru won by 50 runs
03/05/2025,Royal Challengers Bengaluru,Chennai Super Kings,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Royal Challengers Bengaluru won by 2 runs
05/04/2026,Chennai Super Kings,Royal Challengers Bengaluru,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Royal Challengers Bengaluru won by 43 runs
